year,observed,GCM1,GCM2,GCM3,GCM4
1950,2,,,,
1951,1,,,,
1952,0,,,,
1953,4,,,,
1954,0,,,,
1955,8,,,,
1956,4,,,,
1957,3,,,,
1958,6,,,,
1959,3,,,,
1960,4,,,,
1961,5,,,,
1962,1,,,,
1963,7,,,,
1964,1,,,,
1965,6,,,,
1966,2,,,,
1967,7,,,,
1968,5,,,,
1969,0,,,,
1970,3,,,,
1971,7,,,,
1972,8,,,,
1973,6,,,,
1974,2,,,,
1975,3,,,,
1976,7,,,,
1977,0,,,,
1978,9,,,,
1979,8,,,,
1980,3,,,,
1981,11,,,,
1982,3,,,,
1983,4,,,,
1984,8,,,,
1985,8,,,,
1986,2,,,,
1987,6,,,,
1988,6,,,,
1989,4,,,,
1990,6,,,,
1991,3,,,,
1992,2,,,,
1993,1,,,,
1994,7,,,,
1995,8,,,,
1996,2,,,,
1997,10,,,,
1998,6,,,,
1999,2,,,,
2000,1,,,,
2001,0,,,,
2002,2,,,,
2003,0,,,,
2004,5,,,,
2005,1,,,,
2006,,1,2,8,3
2007,,0,2,0,7
2008,,1,10,1,3
2009,,1,7,3,4
2010,,2,4,4,8
2011,,5,0,2,5
2012,,9,2,17,4
2013,,4,0,6,0
2014,,6,2,1,7
2015,,0,1,4,8
2016,,1,3,5,12
2017,,3,7,2,4
2018,,8,7,3,10
2019,,1,0,9,0
2020,,15,3,6,2
2021,,2,2,13,1
2022,,5,3,23,0
2023,,10,5,10,3
2024,,5,0,17,2
2025,,5,0,14,5
2026,,0,1,15,20
2027,,4,2,2,7
2028,,8,9,1,1
2029,,3,3,9,7
2030,,6,6,17,9
2031,,0,7,8,5
2032,,10,5,5,5
2033,,3,7,2,0
2034,,8,3,7,6
2035,,12,1,9,13
2036,,11,3,29,12
2037,,9,0,14,14
2038,,6,5,10,2
2039,,11,3,9,14
2040,,3,1,26,9
2041,,3,2,18,5
2042,,5,3,6,10
2043,,6,8,2,14
2044,,17,0,11,8
2045,,6,8,6,19
2046,,2,7,4,4
2047,,9,9,26,12
2048,,14,1,20,3
2049,,7,4,13,6
2050,,4,7,16,12
2051,,16,7,22,17
2052,,16,10,28,2
2053,,11,4,20,18
2054,,2,9,23,8
2055,,23,8,4,8
2056,,15,8,17,20
2057,,9,15,42,12
2058,,31,6,15,9
2059,,20,14,18,6
2060,,18,22,10,2
2061,,17,4,33,23
2062,,23,7,13,23
2063,,4,27,18,7
2064,,27,12,27,6
2065,,6,12,12,5
2066,,5,12,20,15
2067,,19,9,33,11
2068,,23,10,22,11
2069,,27,17,28,9
2070,,19,3,24,9
2071,,15,16,36,20
2072,,23,11,13,27
2073,,25,10,37,22
2074,,17,9,16,33
2075,,20,5,27,16
2076,,17,23,33,12
2077,,31,28,36,10
2078,,16,2,42,26
2079,,32,31,31,18
2080,,35,13,11,21
2081,,25,11,45,18
2082,,9,9,39,9
2083,,55,16,48,15
2084,,41,12,28,33
2085,,29,23,41,15
2086,,17,18,24,9
2087,,36,24,48,27
2088,,30,19,44,18
2089,,24,8,39,27
2090,,17,22,50,22
2091,,14,17,21,9
2092,,31,32,27,14
2093,,63,11,58,13
2094,,31,17,53,46
2095,,37,19,26,18
2096,,44,19,63,25
2097,,12,23,33,13
2098,,54,23,55,24
2099,,20,26,34,42
