,N_Sierra,S_Sierra
1996-09-01,0.0,0.0
1996-09-02,0.0,0.0
1996-09-03,0.0,0.0
1996-09-04,0.0,0.0
1996-09-05,0.0,0.0
1996-09-06,0.0,0.0
1996-09-07,0.0,0.0
1996-09-08,0.0,0.0
1996-09-09,0.0,0.0
1996-09-10,0.0,0.0
1996-09-11,0.0,0.0
1996-09-12,0.0,0.0
1996-09-13,0.0,0.0
1996-09-14,1.5369082e-07,0.0
1996-09-15,0.0,0.0
1996-09-16,1.4340802e-05,0.0
1996-09-17,0.0,0.0
1996-09-18,0.0,0.0
1996-09-19,0.0,0.0
1996-09-20,0.0,0.0
1996-09-21,0.0,0.0
1996-09-22,0.0,0.0
1996-09-23,0.0,0.0
1996-09-24,0.0,0.0
1996-09-25,0.0,0.0
1996-09-26,0.0,0.0
1996-09-27,0.0,0.0
1996-09-28,0.0,0.0
1996-09-29,0.0,0.0
1996-09-30,0.0,0.0
1996-10-01,0.0,0.0
1996-10-02,0.0,0.0
1996-10-03,0.0,0.0
1996-10-04,0.0,0.0
1996-10-05,0.0,0.0
1996-10-06,0.0,0.0
1996-10-07,0.0,0.0
1996-10-08,0.0,0.0
1996-10-09,0.0,0.0
1996-10-10,0.0,0.0
1996-10-11,0.0,0.0
1996-10-12,0.0,0.0
1996-10-13,0.0,0.0
1996-10-14,0.0,0.0
1996-10-15,0.0,0.0
1996-10-16,0.0,0.0
1996-10-17,0.0,0.0
1996-10-18,0.0,0.0
1996-10-19,0.07192977,0.0
1996-10-20,0.0,0.0
1996-10-21,0.0,0.0
1996-10-22,0.0,0.0
1996-10-23,0.0,0.0
1996-10-24,0.012654634,0.0
1996-10-25,18.627033,2.4948864
1996-10-26,24.12063,5.948759
1996-10-27,26.225727,6.569215
1996-10-28,26.224966,8.136572
1996-10-29,30.208618,9.237543
1996-10-30,66.29309,41.862965
1996-10-31,78.62582,54.472084
1996-11-01,80.206055,55.268642
1996-11-02,80.19939,55.367348
1996-11-03,80.182846,57.241108
1996-11-04,80.79463,58.060062
1996-11-05,87.02046,58.035904
1996-11-06,87.022095,58.013226
1996-11-07,87.01474,57.916588
1996-11-08,87.008766,55.01373
1996-11-09,86.99534,50.01337
1996-11-10,86.9672,44.894768
1996-11-11,86.35103,35.954407
1996-11-12,79.21319,26.03326
1996-11-13,71.34925,12.833798
1996-11-14,68.63109,0.82320523
1996-11-15,68.53829,0.0
1996-11-16,68.62845,6.842555e-07
1996-11-17,96.8586,9.469134
1996-11-18,197.29887,26.424126
1996-11-19,209.90166,26.422382
1996-11-20,269.08475,32.55197
1996-11-21,275.31842,36.163334
1996-11-22,310.95862,49.887276
1996-11-23,338.46808,54.901573
1996-11-24,338.4405,54.89561
1996-11-25,338.54126,55.09196
1996-11-26,338.7683,56.236336
1996-11-27,338.7535,56.255432
1996-11-28,338.77036,56.246407
1996-11-29,339.6701,56.248455
1996-11-30,339.96237,56.245953
1996-12-01,341.61322,56.242077
1996-12-02,344.06696,56.2386
1996-12-03,344.06076,56.233425
1996-12-04,344.07837,56.227844
1996-12-05,368.20248,57.007248
1996-12-06,440.56595,72.75269
1996-12-07,462.3722,74.94371
1996-12-08,466.90924,74.9472
1996-12-09,487.89642,79.68112
1996-12-10,600.588,147.33057
1996-12-11,738.83813,243.23077
1996-12-12,859.6285,295.24072
1996-12-13,886.93396,295.41498
1996-12-14,886.9873,295.41095
1996-12-15,886.9343,295.40283
1996-12-16,886.8888,295.39273
1996-12-17,886.853,295.3844
1996-12-18,886.7784,295.37567
1996-12-19,886.7179,295.36774
1996-12-20,886.6658,295.36
1996-12-21,894.71265,295.35162
1996-12-22,980.87024,344.85028
1996-12-23,1032.2407,401.69708
1996-12-24,1034.7103,401.9499
1996-12-25,1034.6548,401.94275
1996-12-26,1036.549,402.1259
1996-12-27,1086.0894,416.05396
1996-12-28,1105.4401,420.63644
1996-12-29,1109.6576,420.6365
1996-12-30,1195.6489,426.54294
1996-12-31,1251.7579,442.05704
1997-01-01,1275.7457,442.34854
1997-01-02,1373.4177,442.91095
1997-01-03,1477.0872,484.04608
1997-01-04,1484.1272,497.37567
1997-01-05,1484.116,497.3853
1997-01-06,1485.3003,499.1399
